category,Active (including people who are hospitalized),Hospitalized (including people in <abbr title="intensive care unit">ICU</abbr>)
Thu Oct 08 2020,5442,206
Fri Oct 09 2020,5652,225
Sat Oct 10 2020,5754,213
Sun Oct 11 2020,5697,217
Mon Oct 12 2020,5833,203
Tue Oct 13 2020,5946,230
Wed Oct 14 2020,5884,231
Thu Oct 15 2020,5883,253
Fri Oct 16 2020,5873,261
Sat Oct 17 2020,5986,278
Sun Oct 18 2020,5954,247
Mon Oct 19 2020,6047,252
Tue Oct 20 2020,6237,274
Wed Oct 21 2020,6299,260
Thu Oct 22 2020,6390,270
Fri Oct 23 2020,6474,276
Sat Oct 24 2020,6821,294
Sun Oct 25 2020,7120,278
Mon Oct 26 2020,7286,295
Tue Oct 27 2020,7418,312
Wed Oct 28 2020,7474,312
Thu Oct 29 2020,7578,322
Fri Oct 30 2020,7669,314
Sat Oct 31 2020,7877,320
Sun Nov 01 2020,7981,350
Mon Nov 02 2020,8096,328
Tue Nov 03 2020,8295,357
Wed Nov 04 2020,8321,367
Thu Nov 05 2020,8358,381
Fri Nov 06 2020,8398,380
Sat Nov 07 2020,8667,384
Sun Nov 08 2020,9105,374
Mon Nov 09 2020,9514,367
