category,Hospitalized (including people in <abbr title="intensive care unit">ICU</abbr>),In <abbr title='intensive care unit'>ICU</abbr>
Sun Oct 18 2020,247,71
Mon Oct 19 2020,252,69
Tue Oct 20 2020,274,72
Wed Oct 21 2020,260,71
Thu Oct 22 2020,270,74
Fri Oct 23 2020,276,78
Sat Oct 24 2020,294,82
Sun Oct 25 2020,278,79
Mon Oct 26 2020,295,78
Tue Oct 27 2020,312,75
Wed Oct 28 2020,312,71
Thu Oct 29 2020,322,77
Fri Oct 30 2020,314,75
Sat Oct 31 2020,320,73
Sun Nov 01 2020,350,72
Mon Nov 02 2020,328,75
Tue Nov 03 2020,357,73
Wed Nov 04 2020,367,75
Thu Nov 05 2020,381,86
Fri Nov 06 2020,380,86
Sat Nov 07 2020,384,88
Sun Nov 08 2020,374,86
Mon Nov 09 2020,367,84
