category,Total tests processed,Percent confirmed positive results
Fri Oct 09 2020,44914,2
Sat Oct 10 2020,44298,2
Sun Oct 11 2020,44138,2.3
Mon Oct 12 2020,36473,2.3
Tue Oct 13 2020,31233,2.6
Wed Oct 14 2020,32206,3
Thu Oct 15 2020,39961,2.9
Fri Oct 16 2020,38507,2
Sat Oct 17 2020,44722,2.3
Sun Oct 18 2020,40850,2.5
Mon Oct 19 2020,31864,3.1
Tue Oct 20 2020,24049,3.6
Wed Oct 21 2020,32646,2.5
Thu Oct 22 2020,38860,2.5
Fri Oct 23 2020,40019,2.9
Sat Oct 24 2020,44151,2.6
Sun Oct 25 2020,38769,3.2
Mon Oct 26 2020,28652,3.8
Tue Oct 27 2020,23945,3.5
Wed Oct 28 2020,30010,3
Thu Oct 29 2020,35621,2.9
Fri Oct 30 2020,41008,2.8
Sat Oct 31 2020,41920,3
Sun Nov 01 2020,37133,3
Mon Nov 02 2020,27908,4
Tue Nov 03 2020,25279,4
Wed Nov 04 2020,28567,3.7
Thu Nov 05 2020,35754,3.3
Fri Nov 06 2020,41268,3.7
Sat Nov 07 2020,39165,3.5
Sun Nov 08 2020,37577,4.2
Mon Nov 09 2020,28401,5
